,date,region,min,max
116,5/17/20,Brazil_nan,12.8,26.7
117,5/18/20,Brazil_nan,13.3,28.9
118,5/19/20,Brazil_nan,14.4,28.9
119,5/20/20,Brazil_nan,17.8,28.3
120,5/21/20,Brazil_nan,16.7,29.4
121,5/22/20,Brazil_nan,17.8,30.0
122,5/23/20,Brazil_nan,13.9,21.7
123,5/24/20,Brazil_nan,11.1,20.6
124,5/25/20,Brazil_nan,10.0,23.3
125,1/22/20,Germany_nan,-7.0,1.0
126,1/23/20,Germany_nan,-3.0,2.0
127,1/24/20,Germany_nan,-4.0,0.0
128,1/25/20,Germany_nan,-1.0,0.0
129,1/26/20,Germany_nan,-1.0,3.0
130,1/27/20,Germany_nan,3.0,7.0
131,1/28/20,Germany_nan,2.0,6.0
132,1/29/20,Germany_nan,2.0,5.0
133,1/30/20,Germany_nan,2.0,8.0
134,1/31/20,Germany_nan,7.0,14.0
135,2/1/20,Germany_nan,9.0,12.0
136,2/2/20,Germany_nan,6.0,12.0
137,2/3/20,Germany_nan,7.0,11.0
138,2/4/20,Germany_nan,2.0,7.0
139,2/5/20,Germany_nan,-1.0,7.0
140,2/6/20,Germany_nan,-2.0,5.0
141,2/7/20,Germany_nan,-1.0,6.0
142,2/8/20,Germany_nan,-3.0,5.0
143,2/9/20,Germany_nan,4.0,12.0
144,2/10/20,Germany_nan,4.0,12.0
145,2/11/20,Germany_nan,2.0,6.0
146,2/12/20,Germany_nan,1.0,7.0
147,2/13/20,Germany_nan,0.0,5.0
148,2/14/20,Germany_nan,2.0,7.0
149,2/15/20,Germany_nan,3.0,10.0
150,2/16/20,Germany_nan,9.0,15.0
151,2/17/20,Germany_nan,5.0,12.0
152,2/18/20,Germany_nan,5.0,8.0
153,2/19/20,Germany_nan,1.0,7.0
154,2/20/20,Germany_nan,2.0,8.0
155,2/21/20,Germany_nan,4.0,8.0
156,2/22/20,Germany_nan,4.0,10.0
157,2/23/20,Germany_nan,6.0,13.0
158,2/24/20,Germany_nan,0.0,10.0
159,2/25/20,Germany_nan,4.0,10.0
160,2/26/20,Germany_nan,2.0,4.0
161,2/27/20,Germany_nan,1.0,4.0
162,2/28/20,Germany_nan,0.0,6.0
163,2/29/20,Germany_nan,2.0,12.0
164,3/1/20,Germany_nan,4.0,9.0
165,3/2/20,Germany_nan,2.0,10.0
166,3/3/20,Germany_nan,0.0,8.0
167,3/4/20,Germany_nan,-2.0,9.0
168,3/5/20,Germany_nan,0.0,9.0
169,3/6/20,Germany_nan,4.0,6.0
170,3/7/20,Germany_nan,1.0,7.0
171,3/8/20,Germany_nan,2.0,10.0
172,3/9/20,Germany_nan,3.0,11.0
173,3/10/20,Germany_nan,4.0,12.0
174,3/11/20,Germany_nan,7.0,13.0
175,3/12/20,Germany_nan,5.0,13.0
176,3/13/20,Germany_nan,2.0,10.0
177,3/14/20,Germany_nan,0.0,10.0
178,3/15/20,Germany_nan,3.0,14.0
179,3/16/20,Germany_nan,-1.0,17.0
180,3/17/20,Germany_nan,6.0,16.0
181,3/18/20,Germany_nan,0.0,16.0
182,3/19/20,Germany_nan,4.0,15.0
183,3/20/20,Germany_nan,5.0,11.0
184,3/21/20,Germany_nan,3.0,7.0
185,3/22/20,Germany_nan,0.0,6.0
186,3/23/20,Germany_nan,-5.0,7.0
187,3/24/20,Germany_nan,-6.0,8.0
188,3/25/20,Germany_nan,-5.0,10.0
189,3/26/20,Germany_nan,-1.0,10.0
190,3/27/20,Germany_nan,-1.0,16.0
191,3/28/20,Germany_nan,3.0,15.0
192,3/29/20,Germany_nan,2.0,6.0
193,3/30/20,Germany_nan,-5.0,6.0
194,3/31/20,Germany_nan,-2.0,7.0
195,4/1/20,Germany_nan,-6.0,10.0
196,4/2/20,Germany_nan,-4.0,13.0
197,4/3/20,Germany_nan,3.0,8.0
198,4/4/20,Germany_nan,0.0,13.0
199,4/5/20,Germany_nan,0.0,18.0
200,4/6/20,Germany_nan,0.0,22.0
201,4/7/20,Germany_nan,3.0,19.0
202,4/8/20,Germany_nan,6.0,22.0
203,4/9/20,Germany_nan,3.0,20.0
204,4/10/20,Germany_nan,4.0,18.0
205,4/11/20,Germany_nan,1.0,20.0
206,4/12/20,Germany_nan,2.0,23.0
207,4/13/20,Germany_nan,5.0,10.0
208,4/14/20,Germany_nan,2.0,9.0
209,4/15/20,Germany_nan,-1.0,17.0
210,4/16/20,Germany_nan,0.0,22.0
211,4/17/20,Germany_nan,7.0,20.0
212,4/18/20,Germany_nan,6.0,22.0
213,4/19/20,Germany_nan,8.0,16.0
214,4/20/20,Germany_nan,6.0,16.0
215,4/21/20,Germany_nan,7.0,17.0
216,4/22/20,Germany_nan,7.7,19.0
217,4/23/20,Germany_nan,3.0,20.0
218,4/24/20,Germany_nan,3.0,21.0
219,4/25/20,Germany_nan,6.0,15.0
220,4/26/20,Germany_nan,1.0,18.0
221,4/27/20,Germany_nan,2.0,22.2
222,4/28/20,Germany_nan,4.5,16.0
223,4/29/20,Germany_nan,8.0,17.0
224,4/30/20,Germany_nan,9.0,16.0
225,5/1/20,Germany_nan,7.0,13.0
226,5/2/20,Germany_nan,7.0,11.8
227,5/3/20,Germany_nan,4.2,15.0
228,5/4/20,Germany_nan,5.5,14.0
229,5/5/20,Germany_nan,2.0,13.0
230,5/6/20,Germany_nan,0.0,16.0
231,5/7/20,Germany_nan,2.0,20.0
232,5/8/20,Germany_nan,5.0,22.0
233,5/9/20,Germany_nan,7.0,22.0
234,5/10/20,Germany_nan,8.0,20.0
235,5/11/20,Germany_nan,4.0,15.0
236,5/12/20,Germany_nan,0.0,10.0
237,5/13/20,Germany_nan,1.0,12.0
238,5/14/20,Germany_nan,5.0,13.0
239,5/15/20,Germany_nan,2.0,14.0
240,5/16/20,Germany_nan,0.0,18.0
241,5/17/20,Germany_nan,5.0,19.0
242,5/18/20,Germany_nan,3.0,23.0
243,5/19/20,Germany_nan,7.0,22.0
